Madhouse;Device;Chilled Cliffs;Device;The Watchers;Device;Bunnyhops;Device;Dust Bowls;Device;The Mills;Device;The Quagmires;Device;Pumpkin Deserts;Device;Flower Hills;Device;Pain Marsh
elcrecido;Android;mattwarnert;iOS;torbenhansen520;iOS;Farmshow;Android;majak-02;Android;jejekawa;Android;markd2014;iOS;Viper5741_TFG;Android;tahahussain2016;Android;kvartira0512;iOS
NorbertoRus;Android;Thanatan777;Android;CLK;iOS;Velham;iOS;BLaZe3458;Android;kristaps_r;Android;Aapeli013;Android;Gexxaro;Android;vctomazi;iOS;agudo777;iOS
denis333989;Android;dwightc8787;Android;torpeda900319;Android;shanemiller7923;iOS;Austinchappell;iOS;Samuel23341;Android;basje113;iOS;OnkelVagn;iOS;KrisC1;Android;marcel_nl34;iOS
tul33;iOS;Darkovia01;Android;DBKilla21;iOS;Jamskywalker;iOS;S4n4th;Android;Seneca986;iOS;Hero1381;iOS;Whirlwind21;Android;SillverDX;Android;Speed69Freek69;Android
##
Trojan Giraffes;Device;The Shafts;Device;Vagrant Camps;Device;Lazy Catapults;Device;Frost Carnivals;Device;The Waterwheels;Device;Leaping Hollows;Device;Ice Blockades;Device;Garbage Routes;Device;Risky Rooftops
RUS-Bostan;Android;The_Kings_Lair;iOS;WastedZymbol;Android;Sandholm;Android;FR-Dodo44;iOS;dutscher-DE;Android;NSP_I_VeNoMz;Android;DonaldM-TFG;iOS;Ritch_M;iOS;d34dstr0k3;iOS
Surf-tiki_TFG;Android;Noxamus;Android;Brinik80;iOS;Dvori159;Android;fing451-_;iOS;Rosie2353;iOS;CHuRcH75;iOS;TreSover;iOS;DISTURB3D-TFG;Android;MrCleanXXIV_TFG;Android
andrewespinal7;iOS;idahoTF;Android;menso91;Android;tdm1018;Android;deloefke88;iOS;ashbyboulware;Android;prelude92;iOS;UA_FANAT_TM;Android;ziga.budja;Android;IT-L3L3B33R-TFG;Android
ehud1304;Android;GER-Miller;iOS;Kneepsteegje;iOS;HeaverBeaver115;Android;Ulqiorra-Cifer;Android;Bhgprox;Android;Ind-Rellik;iOS;DylanDeMorte;iOS;Harzer12;Android;JackDan1975;Android
goglo;Android;juliomguerreiro;Android;bradlynch549;iOS;kimtwo119;iOS;Depo-dave;iOS;PowderJess;iOS;WickedRichy;Android;M0h4mmed-1;Android;johnthompson902;iOS;phillipwinne1;iOS
UKR-Vinchenco;iOS;ctheunicorn;Android;Julian_Hermaaz;Android;TheTom14;iOS;konstantin4zi;Android;U_BOHICA;iOS;andreasdnolsoe;iOS;dee666apex;Android;FRA.B;Android;yumkaimun;Android
HmaduraD;Android;Jewboy81;iOS;TateWolfGang;iOS;StaraSzatana;Android;AlexYaremenko;Android;gregbalu;Android;catalist2016;iOS;muuted;iOS;Cristian-924;Android;Lindsay795;iOS
Fakerah;iOS;dnz15;Android;elinoxyl;iOS;rudeecho;Android;Bace250;iOS;nitin2705;Android;xXpepeguichoXx;iOS;Daaaaaante;Android;SVPDexplorer821;Android;tripdog1985;Android
Kc1266;iOS;Brycerboy12;iOS;Bergelius;Android;danitrapella;iOS;CrushGM;Android;Adventer14;iOS;Sir-uHkBu3uToP;iOS;guest-rB52uoTO;Android;Jabba2.0;iOS;renatospacheco_;Android
djfrog57;iOS;pandamanxv3;Android;SNoWNooBYT;Android;Benji5114;Android;Marth2241;iOS;TOMTOM91420;Android;x1JORDAN8x;Android;Antoine638;Android;jorgi3s;iOS;BabyGiirl_;iOS
##
The Big Swings;Device;Buzzsaw Paradise;Device;Great Walls;Device;Muddy Mounds;Device;The Tanktops;Device;Spider Kingdoms;Device;Cracked Plateaus;Device;Villainous Hideouts;Device;Open Jaw Bogs;Device;Desert Gondolas
NOBBYHOBSON;Android;slangen.nfs;iOS;Gustavo-AS;Android;Clowninaround27;iOS;Spr1te_BY;Android;MY-AKU-CENDAWAN;Android;AkEyE;Android;NOR-Nicolai-TFG;iOS;CostasV2;iOS;Klawd_;iOS
Xero44;iOS;doinkmelon;iOS;ambsan47;Android;hikasrams;Android;WonkyJon-TFG;iOS;risolutore1981;iOS;marcelloluce90;iOS;FatalDragon69;Android;billock11;Android;retrogamerjp;iOS
JPN-Yoshiki-TGG;iOS;JMCinAZ1;iOS;chrismitchebNhy;Android;pimedusessah;Android;BigLiberty;iOS;MorbidWolf666;Android;Morillias;iOS;L2CL2C;iOS;Royke1983;Android;asaichenko;Android
Watchdogs2King;iOS;demoninthesac;Android;alexmacdek;iOS;TURBOSLOAN;iOS;Bananix1975;iOS;redcow2015;Android;MonsterScreamo;Android;godlesplay;Android;Devon-UK;Android;BazZz_hc;Android
makadalu;iOS;buffonada;Android;gsc-peacemaker;Android;abhazelton;Android;nebish007;iOS;Hanks420;iOS;PL-sh4gyy-TFG;Android;Gonasvay;iOS;stachemob-TFG;iOS;Pini94;Android
sosna09876;Android;ntaylor1002;iOS;adduthie;Android;Nine1909;Android;SaRCaZTiQ;Android;Flyin-Finn;iOS;konopec;Android;xratedfraggle;Android;kingsalmon67;Android;NubNub1978;Android
